trial	subject	repetition	x	y	random
train	rat4	1	0.17798987	-0.21272077	false
train	rat4	1	0.18506093	-0.20564969	false
train	rat4	1	0.192132	-0.19857863	false
train	rat4	1	0.19920306	-0.19150755	false
train	rat4	1	0.20627414	-0.18443649	false
train	rat4	1	0.2133452	-0.17736542	false
train	rat4	1	0.22041626	-0.17029434	false
train	rat4	1	0.22748733	-0.16322328	false
train	rat4	1	0.2345584	-0.1561522	false
train	rat4	1	0.24162947	-0.14908114	false
train	rat4	1	0.24870053	-0.14201008	false
train	rat4	1	0.2557716	-0.134939	false
train	rat4	1	0.26284266	-0.12786794	false
train	rat4	1	0.26991373	-0.12079687	false
train	rat4	1	0.27698478	-0.1137258	false
